bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
23355,51.346018,12.411603,71,871f1ab96ffffff,881f1ab961fffff,891f1ab961bffff,8a1f1ab960a7fff
23290,51.340591,12.373017,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb55ffff
23485,51.322409,12.394933,196,871f1a165ffffff,881f1a1655fffff,891f1a16547ffff,8a1f1a16545ffff
20503,51.324102,12.337632,71,871f1a8d9ffffff,881f1a8d93fffff,891f1a8d933ffff,8a1f1a8d904ffff
20169,51.343244,12.374257,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb1bffff,8a1f1a8cb197fff
300295,51.355013,12.31529,150,871f1a8ceffffff,881f1a8ce5fffff,891f1a8ce53ffff,8a1f1a8ce507fff
21525,51.324804,12.336997,196,871f1a8d9ffffff,881f1a8d91fffff,891f1a8d907ffff,8a1f1a8d906ffff
23469,51.341316,12.374028,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb55ffff
39007,51.339698,12.373289,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb43ffff,8a1f1a8cb477fff
21714,51.339609,12.373348,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb43ffff,8a1f1a8cb477fff
23050,51.334142,12.369107,71,871f1a164ffffff,881f1a164bfffff,891f1a164b3ffff,8a1f1a164b37fff
23259,51.340382,12.351239,71,871f1a8caffffff,881f1a8ca1fffff,891f1a8ca3bffff,8a1f1a8ca3b7fff
21829,51.359369,12.36451,196,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c80fffff,8a1f1a8c80c7fff
21891,51.334493,12.368146,196,871f1a164ffffff,881f1a1649fffff,891f1a16487ffff,8a1f1a16486ffff
23498,51.341604,12.369501,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb53ffff,8a1f1a8cb50ffff
21691,51.356316,12.406699,196,871f1a8c9ffffff,881f1ab969fffff,891f1a8c967ffff,8a1f1a8c964ffff
20064,51.358156,12.407121,183,871f1a8c9ffffff,881f1a8c93fffff,891f1a8c92bffff,8a1f1a8c929ffff
21806,51.341627,12.375327,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb54ffff
21648,51.344,12.371889,196,871f1a8cbffffff,881f1a8cbdfffff,891f1a8cbcfffff,8a1f1a8cbccffff
23466,51.312907,12.373163,71,871f1a160ffffff,881f1a160dfffff,891f1a160d7ffff,8a1f1a160d5ffff
22124,51.356836,12.387404,196,871f1a8c9ffffff,881f1a8c95fffff,891f1a8c943ffff,8a1f1a8c941ffff
20357,51.331209,12.390241,196,871f1a165ffffff,881f1a165dfffff,891f1a165c7ffff,8a1f1a165c77fff
